event_message,id,identifier,method,path,search,status_code,timestamp
GET | 200 | 13.222.135.233 | 965b029fbcedacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,db8be674-8c44-43ab-904b-bde09f5c391d,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607495638000
GET | 200 | 13.222.135.233 | 965b029efbdfacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A35.514Z&end_date=gte.2025-07-27T09%3A11%3A35.514Z&order=challenge_type.asc%2Cstart_date.desc | node,0d45df1a-ad82-4d3a-9999-2aa977e1f887,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A35.514Z&end_date=gte.2025-07-27T09%3A11%3A35.514Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607495523000
GET | 200 | 13.222.135.233 | 965b029e4afcacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,d667c4c5-c773-46e5-89e8-e49b3690a33d,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607495410000
GET | 200 | 13.222.135.233 | 965b029d89edacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,27c1661f-2096-44da-b26f-c40120b2bcda,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607495293000
GET | 200 | 13.222.135.233 | 965b029a4d72acc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,dfdf2175-4cee-4d2f-8e65-9d1210cceba4,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607494767000
GET | 200 | 13.222.135.233 | 965b02999c7facc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A34.652Z&end_date=gte.2025-07-27T09%3A11%3A34.652Z&order=challenge_type.asc%2Cstart_date.desc | node,b3d60b34-9f61-41b4-9923-afb1b68bf71f,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A34.652Z&end_date=gte.2025-07-27T09%3A11%3A34.652Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607494660000
GET | 200 | 13.222.135.233 | 965b0298eb8eacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,9f1b7bbb-1ffa-4fc7-9e3b-4a428616cfa4,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607494549000
GET | 200 | 13.222.135.233 | 965b02983a9bacc6 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,2e9b691d-f1b8-4de5-ac6b-abcb112ebb4c,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607494436000
GET | 200 | 13.222.135.233 | 965b01e30fc11743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,af861e3f-01e5-42e9-8f42-8c6f742d9426,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607465456000
GET | 200 | 13.222.135.233 | 965b01e14ec51743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A11%3A05.161Z&end_date=gte.2025-07-27T09%3A11%3A05.161Z&order=challenge_type.asc%2Cstart_date.desc | node,49aead91-941e-4459-9c0f-42bac84882e7,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A11%3A05.161Z&end_date=gte.2025-07-27T09%3A11%3A05.161Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607465170000
GET | 200 | 13.222.135.233 | 965b01df7da71743 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,47ce42d3-b78d-4a8c-8f18-b2d0e2e5d8ba,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607464880000
GET | 200 | 13.222.135.233 | 965b01dd3c761743 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,11e732e6-a546-41ff-b402-22b5bebaf6b1,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607464529000
GET | 200 | 13.222.135.233 | 965b012dbff72d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,2ddee84d-2b79-49fa-815c-0cd99d9eaac7,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607436443000
GET | 200 | 13.222.135.233 | 965b012cff8d2d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A10%3A36.310Z&end_date=gte.2025-07-27T09%3A10%3A36.310Z&order=challenge_type.asc%2Cstart_date.desc | node,c723fec9-1a77-4b22-9d77-f64f846adba2,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A10%3A36.310Z&end_date=gte.2025-07-27T09%3A10%3A36.310Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607436319000
GET | 200 | 13.222.135.233 | 965b012b1e9f2d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,f7429210-58f9-4d52-8cfe-b179fd09cd3b,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607436018000
GET | 200 | 13.222.135.233 | 965b01293d662d10 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,1eec92a3-a548-477d-a18f-dfd277b300dc,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607435718000
GET | 200 | 13.222.135.233 | 965b01257b202d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,c62259ba-5c75-4059-b2d9-2ef8bec1a55b,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607435124000
GET | 200 | 13.222.135.233 | 965b012399ed2d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A10%3A34.811Z&end_date=gte.2025-07-27T09%3A10%3A34.811Z&order=challenge_type.asc%2Cstart_date.desc | node,dad9ebb2-8be2-4387-a66c-bf45bc4f0d74,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A10%3A34.811Z&end_date=gte.2025-07-27T09%3A10%3A34.811Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607434823000
GET | 200 | 13.222.135.233 | 965b0122d9682d10 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,a9b0d720-b8da-4d84-9a2c-158852eb81c8,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607434701000
GET | 200 | 13.222.135.233 | 965b0120a8102d10 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,fa7d9c14-2d26-416f-877a-72042411bbda,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607434382000
GET | 200 | 13.222.135.233 | 965b006bbc50e5f3 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,dd494b41-d33b-4288-962c-87f4f429af66,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607405406000
GET | 200 | 13.222.135.233 | 965b0069fa5be5f3 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A10%3A05.107Z&end_date=gte.2025-07-27T09%3A10%3A05.107Z&order=challenge_type.asc%2Cstart_date.desc | node,21db0726-ba93-478a-95e7-f97072137b39,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A10%3A05.107Z&end_date=gte.2025-07-27T09%3A10%3A05.107Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607405116000
GET | 200 | 13.222.135.233 | 965b00681870e5f3 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,f3bcd958-75d1-4ea1-8b6c-a873dfd63af5,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607404826000
GET | 200 | 13.222.135.233 | 965b00662e3de5f3 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,0d10fe9a-a7f5-4530-9b14-86d7316db952,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607404517000
GET | 200 | 13.222.135.233 | 965affb8db0fd6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,abf685cb-2faf-4aa8-954c-3c76161bf93b,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607376784000
GET | 200 | 13.222.135.233 | 965affb6f8aed6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A09%3A36.467Z&end_date=gte.2025-07-27T09%3A09%3A36.467Z&order=challenge_type.asc%2Cstart_date.desc | node,11bfbe87-0c8d-45a4-a96f-a06692352219,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A09%3A36.467Z&end_date=gte.2025-07-27T09%3A09%3A36.467Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607376478000
GET | 200 | 13.222.135.233 | 965affb52e96d6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,9e37a19d-1d58-4ab7-b18e-e1426b283be2,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607376188000
GET | 200 | 13.222.135.233 | 965affb35c19d6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,47b0e94b-80dc-4838-bd92-2247df914555,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607375902000
GET | 200 | 13.222.135.233 | 965affaf4efed6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,ef731e31-08aa-414f-baa4-743b6477a4e2,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607375251000
GET | 200 | 13.222.135.233 | 965affad8ce2d6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A09%3A34.958Z&end_date=gte.2025-07-27T09%3A09%3A34.958Z&order=challenge_type.asc%2Cstart_date.desc | node,29e6587c-26ae-4bc8-9d88-2f2df7af90d9,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A09%3A34.958Z&end_date=gte.2025-07-27T09%3A09%3A34.958Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607374967000
GET | 200 | 13.222.135.233 | 965affabbac2d6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,2fddd755-85fb-4ddb-8e8a-3b064a0579b6,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607374679000
GET | 200 | 13.222.135.233 | 965affa9c8bcd6d0 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,bfe9dc92-8795-47ac-99ad-849294957504,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607374374000
GET | 200 | 13.222.135.233 | 965afef5ae4520d2 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,2eedd9ee-e74f-4cf8-8e92-fcb391111eb4,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607345556000
GET | 200 | 13.222.135.233 | 965afef3dcee20d2 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A09%3A05.249Z&end_date=gte.2025-07-27T09%3A09%3A05.249Z&order=challenge_type.asc%2Cstart_date.desc | node,21c6333e-3f3c-49ec-aa99-fdc879a03fc0,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A09%3A05.249Z&end_date=gte.2025-07-27T09%3A09%3A05.249Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607345258000
GET | 200 | 13.222.135.233 | 965afef1eb8220d2 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,693869c1-c22e-4a49-b81d-6f82b3e04bc5,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607344948000
GET | 200 | 13.222.135.233 | 965afeef798420d2 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,59975252-83c0-436e-a114-03d3872ebf97,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607344595000
GET | 400 | 98.80.205.219 | 965afe4af92a8bd6 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=id%2Cchallenge_id%2Celement_discovered%2Cgame_mode%2Ccompleted_at%2Ctokens_awarded%2Cchallenges%28challenge_type%2Ctitle%2Ctarget_element%2Ctarget_category%2Creward_tokens%2Cstart_date%2Cend_date%29&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&order=completed_at.desc | node,15614554-7d06-4a1f-a705-0f4cf460f0b0,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=id%2Cchallenge_id%2Celement_discovered%2Cgame_mode%2Ccompleted_at%2Ctokens_awarded%2Cchallenges%28challenge_type%2Ctitle%2Ctarget_element%2Ctarget_category%2Creward_tokens%2Cstart_date%2Cend_date%29&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&order=completed_at.desc,400,1753607318245000
GET | 200 | 98.80.205.219 | 965afe492ec68bd6 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,12031f5d-2e01-40f4-b868-17769dfc5493,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607317948000
GET | 200 | 13.222.135.233 | 965afe401dc56fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,6320c306-4cb7-4195-b857-b0511cc0efec,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607316504000
GET | 200 | 13.222.135.233 | 965afe3e4d1e6fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A08%3A36.199Z&end_date=gte.2025-07-27T09%3A08%3A36.199Z&order=challenge_type.asc%2Cstart_date.desc | node,94201c10-d781-4aa3-bdfc-b188fdc2011e,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A08%3A36.199Z&end_date=gte.2025-07-27T09%3A08%3A36.199Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607316208000
GET | 200 | 13.222.135.233 | 965afe3c6c506fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,c7012e0e-ebd4-416e-9742-095131233691,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607315912000
GET | 200 | 13.222.135.233 | 965afe3bac066fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,8a48a6e3-785a-4d34-b6c5-69db3fa373e4,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607315789000
GET | 200 | 13.222.135.233 | 965afe385e313ec9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,5dd1e64c-2e02-4b71-9513-22d022cb2137,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607315262000
GET | 200 | 13.222.135.233 | 965afe383ac76fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenge_completions?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29 | node,332d1c58-cc5f-45f0-8ecb-0e4f1c59f219,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenge_completions,?select=*&user_id=eq.6922b549-5262-4207-8224-ad49260404a6&challenge_id=in.%281c0665e5-59c8-45db-8a1a-dc7f1133e3ce%2C8e8510da-e3f4-48f8-bdd9-2a9a18f6add2%2C16f621f1-f476-4bd5-af22-be9c45d17dbe%29,200,1753607315239000
GET | 200 | 13.222.135.233 | 965afe37ad5b3ec9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A08%3A35.142Z&end_date=gte.2025-07-27T09%3A08%3A35.142Z&order=challenge_type.asc%2Cstart_date.desc | node,dfa2c3ef-7e12-4a2b-8d7f-e860771fd933,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A08%3A35.142Z&end_date=gte.2025-07-27T09%3A08%3A35.142Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607315151000
GET | 200 | 13.222.135.233 | 965afe36fc863ec9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6 | node,fe9599a0-b92c-4d97-83d4-84c29a2adab9,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=is_anonymous&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607315039000
GET | 200 | 37.96.104.60 | 965afe366bfb9304 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/users?select=show_challenges&id=eq.6922b549-5262-4207-8224-ad49260404a6 | Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:141.0) Gecko/20100101 Firefox/141.0,d7190e89-c71d-4342-874b-c2a9f5e7ca66,dpdskrcslgqbmtidcotw,GET,/rest/v1/users,?select=show_challenges&id=eq.6922b549-5262-4207-8224-ad49260404a6,200,1753607314955000
GET | 200 | 13.222.135.233 | 965afe365a2e6fd9 | https://dpdskrcslgqbmtidcotw.supabase.co/rest/v1/challenges?select=*&start_date=lte.2025-07-27T09%3A08%3A34.936Z&end_date=gte.2025-07-27T09%3A08%3A34.936Z&order=challenge_type.asc%2Cstart_date.desc | node,e986eccc-b161-42f5-b87a-9a1be5cd53f3,dpdskrcslgqbmtidcotw,GET,/rest/v1/challenges,?select=*&start_date=lte.2025-07-27T09%3A08%3A34.936Z&end_date=gte.2025-07-27T09%3A08%3A34.936Z&order=challenge_type.asc%2Cstart_date.desc,200,1753607314946000
GET | 200 | 13.222.135.233 | 965afe363b973ec9 | https://dpdskrcslgqbmtidcotw.supabase.co/auth/v1/user | node,f108124f-ee32-4a9b-a940-d2bd019279f4,dpdskrcslgqbmtidcotw,GET,/auth/v1/user,null,200,1753607314926000
